P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,Dist
30,16,54,68,91,22,32,99,92,6,69,77,38,42,78,100,89,58,41,14,67,53,37,26,18,10,9,24,2,73,61,25,83,79,8,17,81,55,11,45,62,51,28,80,98,56,93,97,59,64,31,87,43,82,66,65,19,23,75,12,13,57,20,95,4,39,85,88,44,94,49,90,46,76,86,33,7,72,96,3,34,40,35,60,74,70,47,63,29,50,71,1,15,36,27,52,21,48,5,84,9.875402279
81,17,42,89,83,25,53,37,26,61,88,39,4,95,20,57,13,15,5,84,47,96,3,34,40,35,60,70,74,46,90,76,86,33,7,72,62,51,98,56,93,97,8,79,31,64,87,43,50,49,29,59,80,28,63,48,21,52,27,19,23,75,12,66,65,36,1,71,82,94,44,85,9,10,24,2,73,18,67,14,41,58,54,68,91,22,32,99,92,16,30,100,78,77,6,69,55,11,45,38,9.899264767
30,16,68,54,91,22,32,99,92,6,69,77,38,42,78,100,89,58,41,14,67,53,37,26,18,10,9,24,2,73,61,25,83,79,8,17,81,55,11,45,62,51,28,80,98,56,93,97,59,64,31,87,43,82,66,65,19,23,75,12,13,57,20,95,4,39,85,88,44,94,49,90,46,76,86,33,7,72,96,3,34,40,35,60,74,70,47,63,29,50,71,1,15,36,27,52,21,48,5,84,9.904880329
81,17,42,89,83,25,53,37,26,61,88,44,94,95,20,57,13,15,5,84,47,96,3,34,40,35,60,70,74,46,90,76,86,33,7,72,62,51,98,56,93,97,8,79,31,64,87,43,50,49,29,59,80,28,63,48,21,52,27,19,23,75,12,66,65,36,1,71,82,4,39,85,9,10,24,2,73,18,67,14,41,58,54,68,91,22,32,99,92,16,30,100,78,77,6,69,55,11,45,38,9.905745376
15,50,43,87,64,31,94,44,88,61,73,18,26,37,53,67,14,41,89,100,78,42,56,29,49,21,48,5,84,63,59,93,97,79,83,25,2,24,10,9,85,39,4,95,20,57,13,66,12,71,82,8,58,54,68,91,22,32,99,92,16,30,6,55,69,77,38,81,17,98,80,28,51,62,45,11,3,96,34,40,35,33,7,72,47,76,86,60,70,74,46,90,52,27,19,23,75,65,36,1,9.92793416
89,100,54,68,91,22,32,99,92,6,77,78,30,16,58,67,53,37,26,18,73,88,44,94,50,49,5,48,21,90,46,76,86,33,96,3,45,11,55,69,28,80,59,31,64,29,84,63,47,7,34,40,35,74,70,60,72,62,51,81,38,42,17,98,56,93,97,87,43,82,71,66,12,75,23,36,1,15,27,52,19,65,13,57,20,95,4,39,85,9,10,24,2,61,79,8,83,25,14,41,9.955645767
30,16,91,32,22,68,54,99,92,6,69,77,38,42,78,100,89,58,41,14,67,53,37,26,18,10,9,24,2,73,61,25,83,79,8,17,81,55,11,45,62,51,28,80,98,56,93,97,59,64,31,87,43,82,66,65,19,23,75,12,13,57,20,95,4,39,85,88,44,94,49,90,46,76,86,33,7,72,96,3,34,40,35,60,74,70,47,63,29,50,71,1,15,36,27,52,21,48,5,84,10.01056427
59,63,84,29,5,48,21,49,50,71,39,9,10,24,2,18,26,61,73,85,57,13,66,12,75,23,65,36,1,15,19,27,52,90,46,47,62,72,7,86,33,35,40,34,11,55,69,6,92,99,32,22,91,68,54,16,30,78,77,38,81,17,42,89,100,58,41,14,67,53,37,25,83,8,97,93,56,98,80,28,76,70,74,60,96,3,45,51,79,88,44,94,87,43,82,20,95,4,31,64,10.10195034
77,78,42,38,81,17,98,80,47,76,35,40,34,96,3,55,6,92,99,32,22,91,68,54,16,30,100,89,58,41,83,8,56,28,51,62,72,7,86,33,60,70,74,46,90,52,23,75,12,66,13,71,82,57,20,95,39,4,31,64,59,43,87,94,44,88,85,9,10,24,2,18,73,26,37,53,67,14,25,61,79,97,93,63,84,5,48,21,49,50,15,1,36,65,19,27,29,45,11,69,10.15299841
33,70,74,46,90,49,29,59,56,93,97,79,83,8,42,38,81,51,62,72,96,3,34,40,35,60,76,47,63,84,5,48,21,52,27,19,71,82,43,87,94,57,13,66,12,75,23,65,36,1,15,50,64,31,88,61,26,37,53,14,41,100,30,16,92,99,32,22,91,68,54,58,67,18,24,10,9,39,4,20,95,44,85,2,73,25,89,78,77,6,69,55,11,45,28,80,98,17,7,86,10.18847394
26,25,83,79,8,89,92,99,32,22,91,68,54,16,30,78,38,28,47,70,74,60,33,86,76,46,90,52,75,12,66,13,57,20,95,4,44,94,43,82,71,50,29,59,56,98,17,42,81,80,63,84,15,1,36,65,23,19,27,21,48,5,49,87,64,31,97,93,7,35,40,34,3,96,72,62,51,45,11,55,69,6,77,100,58,41,14,67,53,37,61,88,39,85,9,10,24,2,18,73,10.20446374
34,40,35,74,70,46,90,52,19,23,65,75,12,66,13,57,20,95,39,4,44,94,87,43,50,49,48,21,27,36,15,1,71,82,31,8,79,88,85,9,10,24,2,18,67,14,53,37,26,73,61,25,83,41,100,78,30,16,99,92,77,38,17,56,93,97,59,64,29,5,84,63,47,7,72,62,51,98,80,28,76,60,33,86,81,42,89,58,54,68,91,22,32,6,69,55,11,45,3,96,10.20624968
